"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"38",11533,NA,"Allegany","NY",42.03789,-77.85848,"NAD83",4966,0,5026,2249,"ft",115,0,NA,46.11,1531.92,1531.92,685.5,"NAD83",760032.74,4658758.32,51.79529,"NY38","31003004460000",-77.85848,42.03789,TRUE
"40",11535,NA,"Allegany","NY",42.03789,-77.85848,"NAD83",4966,0,5020,2249,"ft",118,0,NA,47.78,1530.1,1530.1,685.5,"NAD83",760032.74,4658758.32,53.449061,"NY40","31003004460000",-77.85848,42.03789,TRUE
"381",11533,NA,"Allegany","NY",42.03789,-77.85848,"NAD83",4966,0,5026,2249,"ft",115,0,NA,46.11,1531.92,1531.92,685.5,"NAD83",760032.74,4658758.32,51.79529,"NY38","31003004460000",-77.85848,42.03789,TRUE
"401",11535,NA,"Allegany","NY",42.03789,-77.85848,"NAD83",4966,0,5020,2249,"ft",118,0,NA,47.78,1530.1,1530.1,685.5,"NAD83",760032.74,4658758.32,53.449061,"NY40","31003004460000",-77.85848,42.03789,TRUE
"382",11533,NA,"Allegany","NY",42.03789,-77.85848,"NAD83",4966,0,5026,2249,"ft",115,0,NA,46.11,1531.92,1531.92,685.5,"NAD83",760032.74,4658758.32,51.79529,"NY38","31003004460000",-77.85848,42.03789,TRUE
"402",11535,NA,"Allegany","NY",42.03789,-77.85848,"NAD83",4966,0,5020,2249,"ft",118,0,NA,47.78,1530.1,1530.1,685.5,"NAD83",760032.74,4658758.32,53.449061,"NY40","31003004460000",-77.85848,42.03789,TRUE
"45",11540,NA,"Allegany","NY",42.03623,-77.86439,"NAD83",4975,0,4950,2198,"ft",112,0,NA,44.44,1508.76,1508.76,669.95,"NAD83",759550.26,4658556.02,49.920228,"NY45","31003018050000",-77.86439,42.03623,TRUE
"451",11540,NA,"Allegany","NY",42.03623,-77.86439,"NAD83",4975,0,4950,2198,"ft",112,0,NA,44.44,1508.76,1508.76,669.95,"NAD83",759550.26,4658556.02,49.920228,"NY45","31003018050000",-77.86439,42.03623,TRUE
"48",11543,NA,"Allegany","NY",42.47049,-78.1599,"NAD83",7560,0,7039,1560,"ft",130,0,NA,54.44,2145.49,2145.49,475.49,"NAD83",733478.59,4705924.3,66.509887,"NY48","31003042480000",-78.1599,42.47049,TRUE
"58",11553,NA,"Allegany","NY",42.16004,-78.01252,"NAD83",4470,0,4468,2007,"ft",97,0,NA,36.11,1361.85,1361.85,611.73,"NAD83",746806.59,4671865.48,40.366806,"NY59","31003117620000",-78.01252,42.16004,TRUE
"581",11553,NA,"Allegany","NY",42.16004,-78.01252,"NAD83",4470,0,4468,2007,"ft",97,0,NA,36.11,1361.85,1361.85,611.73,"NAD83",746806.59,4671865.48,40.366806,"NY59","31003117620000",-78.01252,42.16004,TRUE
"65",11560,NA,"Allegany","NY",42.34913,-77.81962,"NAD83",3670,0,4026,1840,"ft",99,0,NA,37.22,1227.12,1227.12,560.83,"NAD83",761959.74,4693440.34,40.481758,"NY66","31003135490000",-77.81962,42.34913,TRUE
"66",11561,NA,"Allegany","NY",42.34913,-77.81962,"NAD83",3670,0,2975,1840,"ft",83,0,NA,28.33,906.78,906.78,560.83,"NAD83",761959.74,4693440.34,29.770497,"NY67","31003135490000",-77.81962,42.34913,TRUE
"651",11560,NA,"Allegany","NY",42.34913,-77.81962,"NAD83",3670,0,4026,1840,"ft",99,0,NA,37.22,1227.12,1227.12,560.83,"NAD83",761959.74,4693440.34,40.481758,"NY66","31003135490000",-77.81962,42.34913,TRUE
"661",11561,NA,"Allegany","NY",42.34913,-77.81962,"NAD83",3670,0,2975,1840,"ft",83,0,NA,28.33,906.78,906.78,560.83,"NAD83",761959.74,4693440.34,29.770497,"NY67","31003135490000",-77.81962,42.34913,TRUE
"652",11560,NA,"Allegany","NY",42.34913,-77.81962,"NAD83",3670,0,4026,1840,"ft",99,0,NA,37.22,1227.12,1227.12,560.83,"NAD83",761959.74,4693440.34,40.481758,"NY66","31003135490000",-77.81962,42.34913,TRUE
"662",11561,NA,"Allegany","NY",42.34913,-77.81962,"NAD83",3670,0,2975,1840,"ft",83,0,NA,28.33,906.78,906.78,560.83,"NAD83",761959.74,4693440.34,29.770497,"NY67","31003135490000",-77.81962,42.34913,TRUE
"71",11566,NA,"Allegany","NY",42.0867,-77.79821,"NAD83",4920,0,4913,2167,"ft",123.13,0,NA,50.63,1497.48,1497.48,660.5,"NAD83",764818.86,4664363.7,56.01151,"NY72","31003144850000",-77.79821,42.0867,TRUE
"711",11566,NA,"Allegany","NY",42.0867,-77.79821,"NAD83",4920,0,4913,2167,"ft",123.13,0,NA,50.63,1497.48,1497.48,660.5,"NAD83",764818.86,4664363.7,56.01151,"NY72","31003144850000",-77.79821,42.0867,TRUE
"74",11569,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4777,2006,"ft",108,0,NA,42.22,1456.03,1456.03,611.43,"NAD83",763251.18,4664198.34,47.245414,"NY75","31003145710000",-77.81721,42.08574,TRUE
"75",11570,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4785,2006,"ft",111,0,NA,43.89,1458.47,1458.47,611.43,"NAD83",763251.18,4664198.34,48.936082,"NY76","31003145710000",-77.81721,42.08574,TRUE
"741",11569,NA,"Allegany","NY",42.08574,-77.81721,"NAD83",4775,0,4777,2006,"ft",108,0,NA,42.22,1456.03,1456.03,611.43,"NAD83",763251.18,4664198.34,47.245414,"NY75","31003145710000",-77.81721,42.08574,TRUE
