"","RowID_","WellNam","County","State","LatDegr","LongDgr","SRS","DrllrTt","TruVrtc","DpthOfM","ElevtnG","LngthUn","MeasrdT","Temprtr","DrllngF","bht_c","WellDepth","MeasrDp","RprtdEl","CRS","coords_x1","coords_x2","BHT","StateID","API_14Dig","coords.x1","coords.x2","optional"
"1",11496,NA,"Allegany","NY",42.04208,-77.86255,"NAD83",4825,0,4810,2160,"ft",98,0,NA,36.67,1466.09,1466.09,658.37,"NAD83",759678.74,4659211.23,41.780866,"NY1","31003000050000",-77.86255,42.04208,TRUE
"2",11497,NA,"Allegany","NY",42.03843,-77.87785,"NAD83",5030,0,5032,2246,"ft",105,0,NA,40.56,1533.75,1533.75,684.58,"NAD83",758427.07,4658759.53,46.261628,"NY2","31003000060000",-77.87785,42.03843,TRUE
"3",11498,NA,"Allegany","NY",42.03885,-77.85204,"NAD83",5036,0,5032,2268,"ft",128,0,NA,53.33,1533.75,1533.75,691.29,"NAD83",760561.92,4658884.54,59.031628,"NY3","31003000070000",-77.85204,42.03885,TRUE
"4",11499,NA,"Allegany","NY",42.04861,-77.8408,"NAD83",4980,0,4991,2231,"ft",107,0,NA,41.67,1521.26,1521.26,680.01,"NAD83",761452.31,4660002.69,47.260511,"NY4","31003000090000",-77.8408,42.04861,TRUE
"5",11500,NA,"Allegany","NY",42.04504,-77.84863,"NAD83",4959,0,4897,2217,"ft",121,0,NA,49.44,1492.61,1492.61,675.74,"NAD83",760818.86,4659582.32,54.779127,"NY5","31003000100000",-77.84863,42.04504,TRUE
"6",11501,NA,"Allegany","NY",42.0603,-77.81522,"NAD83",5008,0,5008,2199,"ft",102,0,NA,38.89,1526.44,1526.44,670.26,"NAD83",763521.13,4661379.42,44.526483,"NY6","31003000120000",-77.81522,42.0603,TRUE
"7",11502,NA,"Allegany","NY",42.06068,-77.82258,"NAD83",4945,0,5021,2226,"ft",111,0,NA,43.89,1530.4,1530.4,678.48,"NAD83",762910.5,4661398.94,49.561735,"NY7","31003000130000",-77.82258,42.06068,TRUE
"8",11503,NA,"Allegany","NY",42.09152,-77.76411,"NAD83",5141,0,5146,2288,"ft",111,0,NA,43.89,1568.5,1568.5,697.38,"NAD83",767619.27,4665005.28,49.905553,"NY8","31003000140000",-77.76411,42.09152,TRUE
"9",11504,NA,"Allegany","NY",42.07804,-77.79221,"NAD83",4754,0,4816,2039,"ft",105,0,NA,40.56,1467.92,1467.92,621.49,"NAD83",765351.29,4663420.65,45.686478,"NY9","31003000150000",-77.79221,42.07804,TRUE
"10",11505,NA,"Allegany","NY",42.07873,-77.80134,"NAD83",4853,0,4941,2049,"ft",116,0,NA,46.67,1506.02,1506.02,624.54,"NAD83",764593.1,4663468.94,52.126178,"NY10","31003000160000",-77.80134,42.07873,TRUE
